h 	 central 	 advance 	 backward
1.000000e+00 	 4.7624622101e-01 	 1.9524924420e+00 	 1.0000000000e+00 
5.000000e-01 	 1.1468597118e-01 	 8.0853265530e-01 	 5.7916071294e-01 
2.500000e-01 	 2.8404053239e-02 	 3.6996268755e-01 	 3.1315458107e-01 
1.250000e-01 	 7.0843913447e-03 	 1.7719833521e-01 	 1.6302955252e-01 
6.250000e-02 	 1.7700604116e-03 	 8.6744022944e-02 	 8.3203902121e-02 
3.125000e-02 	 4.4245028648e-04 	 4.2919060443e-02 	 4.2034159870e-02 
1.562500e-02 	 1.1060852094e-04 	 2.1347617369e-02 	 2.1126400327e-02 
7.812500e-03 	 2.7651877086e-05 	 1.0645994277e-02 	 1.0590690523e-02 
3.906250e-03 	 6.9129534483e-06 	 5.3160639006e-03 	 5.3022379937e-03 
1.953125e-03 	 1.7282373608e-06 	 2.6563011794e-03 	 2.6528447046e-03 
9.765625e-04 	 4.3205916311e-07 	 1.3277182139e-03 	 1.3268540956e-03 
4.882812e-04 	 1.0801438632e-07 	 6.6375105241e-04 	 6.6353502364e-04 
2.441406e-04 	 2.7003874248e-08 	 3.3184851879e-04 	 3.3179451105e-04 
1.220703e-04 	 6.7512462287e-09 	 1.6591750780e-04 	 1.6590400530e-04 
6.103516e-05 	 1.6889987187e-09 	 8.2957068183e-05 	 8.2953690186e-05 
3.051758e-05 	 4.1934411499e-10 	 4.1478114393e-05 	 4.1477275705e-05 
1.525879e-05 	 1.0647793758e-10 	 2.0738972192e-05 	 2.0738759237e-05 
7.629395e-06 	 1.9166446208e-11 	 1.0369452024e-05 	 1.0369413691e-05 
3.814697e-06 	 9.9373842488e-12 	 5.1847792508e-06 	 5.1847991256e-06 
1.907349e-06 	 9.9373842488e-12 	 2.5924428644e-06 	 2.5924627391e-06 
9.536743e-07 	 1.2635270608e-10 	 1.2962746712e-06 	 1.2965273766e-06 
4.768372e-07 	 1.2635270608e-10 	 6.4853982051e-07 	 6.4879252593e-07 
2.384186e-07 	 3.3930858123e-10 	 3.2537088712e-07 	 3.2469226996e-07 
1.192093e-07 	 5.9201399338e-10 	 1.6332075914e-07 	 1.6450478713e-07 
5.960464e-08 	 5.9201399338e-10 	 8.1364372573e-08 	 8.2548400560e-08 
2.980232e-08 	 5.9201399338e-10 	 5.1562050185e-08 	 5.2746078172e-08 
1.490116e-08 	 6.8585666035e-09 	 3.6660888991e-08 	 2.2943755784e-08 
7.450581e-09 	 6.8585666035e-09 	 3.6660888991e-08 	 2.2943755784e-08 
3.725290e-09 	 2.2943755784e-08 	 3.6660888991e-08 	 8.2548400560e-08 
1.862645e-09 	 3.6660888991e-08 	 1.5587017854e-07 	 8.2548400560e-08 
9.313226e-10 	 1.5587017854e-07 	 3.9428875764e-07 	 8.2548400560e-08 
4.656613e-10 	 8.2548400560e-08 	 8.2548400560e-08 	 8.2548400560e-08 
2.328306e-10 	 8.2548400560e-08 	 8.7112591585e-07 	 1.0362227170e-06 
1.164153e-10 	 8.7112591585e-07 	 2.7784745487e-06 	 1.0362227170e-06 
5.820766e-11 	 1.0362227170e-06 	 2.7784745487e-06 	 4.8509199826e-06 
2.910383e-11 	 2.7784745487e-06 	 1.0407869080e-05 	 4.8509199826e-06 
1.455192e-11 	 4.8509199826e-06 	 1.0407869080e-05 	 2.0109709045e-05 
7.275958e-12 	 1.0407869080e-05 	 4.0925447205e-05 	 2.0109709045e-05 
3.637979e-12 	 2.0109709045e-05 	 2.0109709045e-05 	 2.0109709045e-05 
1.818989e-12 	 2.0109709045e-05 	 2.0109709045e-05 	 2.0109709045e-05 
9.094947e-13 	 2.0109709045e-05 	 2.0109709045e-05 	 2.0109709045e-05 
4.547474e-13 	 2.0109709045e-05 	 4.6817154095e-04 	 5.0839095905e-04 
2.273737e-13 	 5.0839095905e-04 	 4.6817154095e-04 	 1.4849534590e-03 
1.136868e-13 	 4.6817154095e-04 	 4.6817154095e-04 	 4.6817154095e-04 
5.684342e-14 	 4.6817154095e-04 	 4.6817154095e-04 	 4.6817154095e-04 
2.842171e-14 	 4.6817154095e-04 	 4.6817154095e-04 	 4.6817154095e-04 
1.421085e-14 	 4.6817154095e-04 	 4.6817154095e-04 	 4.6817154095e-04 
7.105427e-15 	 4.6817154095e-04 	 3.1718171541e-02 	 3.0781828459e-02 
3.552714e-15 	 3.0781828459e-02 	 3.1718171541e-02 	 9.3281828459e-02 
1.776357e-15 	 3.1718171541e-02 	 3.1718171541e-02 	 3.1718171541e-02 
